,,,,,,,,,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,Tms,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts
45,1975,26,1.13,1.19,0.02,0.02,0.08,0.07,0.01,2.52,,0.00,2.29,2.50,1.01,1.58,0.05,20.6
46,1974,26,1.00,1.03,0.02,0.01,0.06,0.09,0.01,2.22,,0.00,2.01,2.19,0.92,1.52,0.03,18.2
47,1973,26,0.91,1.04,0.01,0.03,0.05,0.08,0.02,2.14,,0.00,2.07,2.11,1.49,2.37,0.03,19.5
48,1972,26,1.00,1.11,0.02,0.02,0.05,0.08,0.03,2.31,,0.00,2.23,2.28,1.37,2.24,0.03,20.3
49,1971,26,0.91,1.07,0.01,0.02,0.07,0.10,0.03,2.21,,0.00,2.16,2.19,1.29,2.19,0.03,19.4
50,1970,26,0.80,1.17,0.02,0.04,0.05,0.07,0.03,2.18,,0.00,2.12,2.18,1.31,2.21,0.03,19.3
51,1969,16,0.88,1.44,0.01,0.03,0.05,0.08,0.01,2.5,,0.00,2.46,2.50,1.08,2.06,0.04,20.9
52,1968,16,0.90,1.37,0.04,0.02,0.03,0.11,0.01,2.48,,0.00,2.36,2.46,1.08,1.94,0.02,20.5
53,1967,16,0.98,1.45,0.02,0.06,0.04,0.15,0.01,2.71,,0.00,2.62,2.70,0.98,1.99,0.03,21.8
54,1966,15,0.95,1.33,0.03,0.04,0.06,0.15,0.01,2.57,,0.00,2.48,2.55,1.25,2.25,0.01,21.7
55,1965,14,1.01,1.57,0.03,0.02,0.10,0.14,0.02,2.89,,0.00,2.74,2.83,1.00,1.86,0.04,23.1
56,1964,14,0.99,1.42,0.04,0.01,0.10,0.13,0.01,2.7,,0.00,2.56,2.67,1.09,2.06,0.02,22.0
57,1963,14,0.97,1.54,0.01,0.05,0.05,0.12,0.01,2.75,,0.00,2.60,2.72,0.96,1.93,0.03,22.0
58,1962,14,1.09,1.53,0.01,0.03,0.06,0.06,0.02,2.8,,0.00,2.67,2.77,0.92,1.86,0.06,22.3
59,1961,14,1.05,1.45,0.05,0.03,0.03,0.08,0.01,2.7,,0.00,2.60,2.68,0.91,1.90,0.03,21.5
60,1960,13,1.03,1.42,0.01,0.02,0.05,0.09,0.01,2.63,,0.00,2.51,2.60,1.04,1.87,0.07,21.6
61,1959,12,1.10,1.37,0.08,0.01,0.07,0.07,0.01,2.71,,0.00,2.58,2.70,0.81,1.72,0.04,21.3
62,1958,12,1.22,1.47,0.01,0.06,0.04,0.08,0.01,2.89,,0.00,2.74,2.86,0.83,1.76,0.02,22.6
63,1957,12,1.10,1.18,0.01,0.02,0.05,0.08,0.01,2.45,,0.00,2.35,2.45,0.89,1.70,0.03,19.8
64,1956,12,1.24,1.13,0.05,0.03,0.06,0.08,0.01,2.6,,0.00,2.43,2.58,0.78,1.53,0.03,20.4
65,1955,12,1.15,1.25,0.06,0.03,0.06,0.09,0.01,2.65,,0.00,2.47,2.65,0.80,1.74,0.03,20.8
66,1954,12,1.06,1.47,0.03,0.04,0.07,0.10,0.01,2.78,,0.00,2.65,2.76,0.83,1.54,0.05,21.9
67,1953,12,1.17,1.31,0.03,0.01,0.08,0.13,0.02,2.75,,0.00,2.62,2.74,0.75,1.61,0.05,21.5
68,1952,12,1.02,1.51,0.10,0.04,0.10,0.10,0.03,2.9,,0.00,2.69,2.88,0.66,1.53,0.08,22.3
69,1951,12,1.22,1.39,0.09,0.01,0.06,0.08,0.01,2.86,,0.00,2.70,2.84,0.68,1.32,0.03,21.9
70,1950,13,1.33,1.41,0.04,0.04,0.09,0.15,0.01,3.07,,0.00,2.87,3.05,0.51,1.16,0.06,22.9
71,1949,10,1.33,1.40,0.08,0.01,0.07,0.13,0.03,3.05,,0.00,2.83,2.99,0.52,1.13,0.03,22.7
72,1948,10,1.26,1.63,0.05,0.03,0.13,0.10,0.04,3.24,,0.00,2.97,3.18,0.38,0.92,0.03,23.6
73,1947,10,1.13,1.57,0.05,0.03,0.08,0.10,0.03,2.99,,0.00,2.74,2.97,0.44,0.99,0.04,22.0
74,1946,10,1.28,1.15,0.01,0.03,0.05,0.06,0.06,2.64,,0.00,2.35,2.53,0.43,1.00,0.05,19.6
75,1945,10,1.34,1.09,0.01,0.01,0.04,0.07,0.03,2.59,,0.00,2.29,2.52,0.34,0.75,0.03,18.9
76,1944,11,1.18,1.17,0.03,0.03,0.04,0.10,0.02,2.57,,0.00,2.20,2.51,0.23,0.69,0.03,18.4
77,1943,10,1.06,1.43,0.01,0.03,0.04,0.10,0.13,2.8,,0.00,2.50,2.73,0.20,0.85,,19.8
78,1942,10,0.88,0.98,0.04,0.05,0.11,0.06,0.08,2.2,,0.00,1.98,2.14,0.30,0.85,0.03,16.2
79,1941,10,1.04,0.90,0.07,0.03,0.05,0.09,0.05,2.23,,0.00,1.90,2.15,0.43,1.07,0.02,16.6
80,1940,10,0.91,0.91,0.02,0.04,0.05,0.09,0.02,2.04,,0.00,1.72,2.02,0.38,0.96,0.05,15.2
81,1939,10,0.93,0.90,0.02,0.01,0.07,0.07,0.04,2.04,,0.00,1.67,2.04,0.47,1.22,0.04,15.4
82,1938,10,0.75,0.85,,,0.08,0.08,0.03,1.79,,0.00,1.48,1.80,0.37,0.92,0.05,13.4
83,1937,10,0.61,0.82,0.02,0.01,0.07,0.12,0.05,1.7,,0.00,1.40,1.70,0.42,,0.05,12.9
84,1936,9,0.71,0.62,0.02,,0.06,0.06,0.06,1.53,,0.00,1.26,1.54,0.44,,0.04,11.9
85,1935,9,0.63,0.60,0.03,0.01,0.02,0.07,0.07,1.43,,0.00,1.10,1.42,0.41,,0.03,10.9
86,1934,11,0.84,0.47,,,0.02,0.04,0.01,1.38,,0.00,1.04,1.41,0.41,,0.02,10.6
87,1933,10,0.61,0.50,,,0.01,0.06,0.05,1.23,,0.00,1.01,1.27,0.32,,0.05,9.4
88,1932,8,0.57,0.44,,,0.03,0.06,0.05,1.15,,0.00,0.79,1.18,0.06,,0.08,8.1
89,1931,10,0.82,0.48,0.03,0.01,0.01,0.06,0.04,1.45,,0.00,0.80,,0.05,,0.03,9.8
90,1930,11,0.90,0.53,,0.01,0.01,0.08,0.02,1.55,,0.00,0.87,,0.04,,,10.3
91,1929,12,0.69,0.56,0.02,0.01,0.02,0.04,0.01,1.35,,0.00,0.73,,0.11,,0.06,9.2
92,1928,10,0.70,0.59,0.03,0.01,,0.08,0.02,1.43,,0.00,0.76,,0.06,,0.03,9.5
93,1927,12,0.74,0.38,0.02,0.01,0.06,0.05,0.02,1.28,,0.00,0.71,,0.16,,0.11,9.1
94,1926,22,0.56,0.26,0.01,,0.07,0.05,0.01,0.96,,0.00,0.70,,0.28,,0.05,7.5
95,1925,20,0.58,0.41,0.01,0.01,0.04,0.07,0.04,1.16,,0.00,0.82,,0.30,,0.02,8.8
96,1924,18,0.71,0.40,0.01,,0.06,0.04,0.01,1.23,,0.00,0.86,,0.43,,0.04,9.6
97,1923,20,0.53,0.26,0.01,,0.04,0.03,,0.87,,0.00,0.57,,0.43,,0.03,7.1
98,1922,18,0.83,0.21,0.01,,0.02,0.05,0.02,1.14,,0.00,0.68,,0.29,,0.01,8.4
