,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,Tms,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
41,1979,28,250.8,463.5,54.1,2886.0,19.2,4.1,21.3,4.6,6.9,5.6,12.7,180.4,70.4,37.8,298.6,5.76,4.6,7.5
42,1978,28,224.2,422.5,53.1,2541.4,16.7,4.0,22.8,5.4,6.7,5.1,12.7,158.8,65.0,36.5,300.0,5.54,4.0,7.9
43,1977,28,179.4,349.5,51.3,1986.4,13.9,4.0,20.1,5.7,6.5,4.7,12.7,141.9,61.2,34.1,284.8,5.18,3.5,8.9
44,1976,28,191.1,366.4,52.2,2128.4,15.4,4.2,17.8,4.8,6.6,5.3,12.7,152.0,67.0,36.6,299.8,5.28,4.1,9.1
45,1975,26,201.2,383.6,52.5,2279.1,16.7,4.3,20.5,5.3,6.7,5.1,12.7,162.8,65.8,34.9,282.3,5.45,4.0,8.3
46,1974,26,193.9,369.6,52.5,2145.4,14.5,3.9,19.2,5.2,6.5,4.9,12.4,153.2,64.2,31.5,254.2,5.35,3.9,7.9
47,1973,26,177.0,340.2,52.0,1973.0,14.5,4.3,18.1,5.3,6.6,5.0,12.6,140.9,64.9,33.1,258.1,5.29,3.9,8.9
48,1972,26,179.2,346.6,51.7,2129.0,15.5,4.5,18.5,5.3,6.8,5.3,13.2,152.1,66.3,29.3,233.5,5.66,4.3,7.8
49,1971,26,184.2,362.0,50.9,2180.1,15.0,4.1,20.9,5.8,6.7,4.9,13.2,155.7,62.2,29.5,252.7,5.57,3.9,7.5
50,1970,26,192.6,376.8,51.1,2259.4,16.4,4.4,19.6,5.2,6.7,5.3,13.2,161.4,65.6,33.5,275.3,5.51,4.2,8.2
51,1969,16,208.8,396.6,52.6,2484.7,20.2,5.1,19.4,4.9,7.0,5.8,13.3,177.5,71.6,35.1,285.6,5.76,4.7,8.1
52,1968,16,193.3,374.8,51.6,2359.4,19.2,5.1,20.4,5.5,7.0,5.6,13.6,168.5,68.7,34.0,271.5,5.77,4.5,8.3
53,1967,16,205.8,403.2,51.0,2513.7,20.3,5.0,22.9,5.7,6.9,5.4,13.6,179.5,66.6,34.3,286.4,5.75,4.3,7.8
54,1966,15,209.9,407.2,51.6,2495.7,18.7,4.6,21.2,5.2,6.9,5.5,13.4,178.3,67.4,39.4,319.3,5.59,4.3,8.8
55,1965,14,198.1,386.2,51.3,2573.4,21.9,5.7,19.8,5.1,7.5,6.3,14.5,183.8,73.5,37.3,308.6,6.08,5.0,8.8
56,1964,14,199.6,388.4,51.4,2431.0,19.9,5.1,18.7,4.8,7.2,6.0,13.9,173.6,71.7,42.9,348.6,5.64,4.6,10.0
57,1963,14,199.4,386.8,51.5,2600.4,21.6,5.6,21.6,5.6,7.5,6.1,14.6,185.7,71.7,36.1,310.0,6.15,4.9,8.5
58,1962,14,203.9,382.6,53.3,2713.4,21.4,5.6,23.2,6.1,7.9,6.2,14.7,193.8,72.6,36.4,290.7,6.48,5.0,8.7
