,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,Tms,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
74,1946,10,,,,,,,,,,,11.0,4.7,42.7%,27.8,25.8,92.8%,57.9,2376.9,0.6,41.1
75,1945,10,,,,,,,,,,,7.5,3.4,45.3%,25.2,22.9,90.9%,51.3,1020.5,0.5,19.9
76,1944,11,,,,,,,,,,,6.3,2.1,33.3%,22.8,20.0,87.6%,54.2,1397.4,0.5,25.8
77,1943,10,,,,,,,,,,,6.8,1.6,23.5%,21.8,20.0,91.7%,50.6,1931.7,1.1,38.2
78,1942,10,,,,,,,,,,,9.3,3.3,35.5%,23.5,21.8,92.8%,67.7,2681.4,0.7,39.6
79,1941,10,,,,,,,,,,,11.8,4.7,39.8%,23.7,20.9,88.2%,65.7,1344.0,0.5,20.5
80,1940,10,,,,,,,,,,,10.6,4.2,39.6%,22.2,18.9,85.1%,68.5,2719.3,0.1,39.7
81,1939,10,,,,,,,,,,,13.4,5.2,38.8%,22.4,18.4,82.1%,0.0,0.0,0.4,
82,1938,10,,,,,,,,,,,10.1,4.1,40.6%,19.8,16.3,82.3%,,,,
83,1937,10,,,,,,,,,,,,4.6,,18.7,15.4,82.4%,,,,
84,1936,9,,,,,,,,,,,,5.3,,18.4,15.1,81.9%,,,,
85,1935,9,,,,,,,,,,,,4.8,,16.8,13.0,77.5%,,,,
86,1934,11,,,,,,,,,,,,4.5,,15.4,11.4,74.0%,,,,
87,1933,10,,,,,,,,,,,,3.6,,14.5,11.5,79.3%,,,,
88,1932,8,,,,,,,,,,,,0.8,,14.1,9.5,67.3%,,,,
