,,,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,Tms,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Blck,Y/P
72,1948,10,,,,,,,,,,,110,45,40.9%,381,356,93.4%,690,28031,6,40.6
73,1947,10,,,,,,,,,,,119,53,44.5%,356,329,92.4%,649,26887,12,41.4
74,1946,10,,,,,,,,,,,110,47,42.7%,278,258,92.8%,579,23769,6,41.1
75,1945,10,,,,,,,,,,,75,34,45.3%,252,229,90.9%,513,10205,5,19.9
76,1944,11,,,,,,,,,,,69,23,33.3%,251,220,87.6%,596,15371,5,25.8
77,1943,10,,,,,,,,,,,68,16,23.5%,218,200,91.7%,506,19317,11,38.2
78,1942,10,,,,,,,,,,,93,33,35.5%,235,218,92.8%,677,26814,7,39.6
79,1941,10,,,,,,,,,,,118,47,39.8%,237,209,88.2%,657,13440,5,20.5
80,1940,10,,,,,,,,,,,106,42,39.6%,222,189,85.1%,685,27193,1,39.7
81,1939,10,,,,,,,,,,,134,52,38.8%,224,184,82.1%,0,0,4,
82,1938,10,,,,,,,,,,,101,41,40.6%,198,163,82.3%,,,,
83,1937,10,,,,,,,,,,,,46,,187,154,82.4%,,,,
84,1936,9,,,,,,,,,,,,48,,166,136,81.9%,,,,
85,1935,9,,,,,,,,,,,,43,,151,117,77.5%,,,,
86,1934,11,,,,,,,,,,,,49,,169,125,74.0%,,,,
87,1933,10,,,,,,,,,,,,36,,145,115,79.3%,,,,
88,1932,8,,,,,,,,,,,,6,,113,76,67.3%,,,,
