,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
Rk,Year,Tms,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,R/G,Y/G,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
39,1981,28,518.1,2082.3,15.8,4.0,130.1,32.4,276.6,3561.5,12.9,21.1,17.3,204.4,,794.8,7.1,5643.8,36.9,34.4
40,1980,28,513.7,2040.5,15.4,4.0,127.5,32.1,275.0,3426.3,12.5,21.6,17.2,196.0,,788.7,6.9,5466.8,37.0,30.5
41,1979,28,542.3,2169.0,17.4,4.0,135.6,33.9,250.8,3184.6,12.7,19.2,15.7,180.4,,793.0,6.8,5353.7,36.6,32.2
42,1978,28,574.1,2269.3,16.2,4.0,141.8,35.9,224.2,2841.3,12.7,16.7,14.0,158.8,,798.3,6.4,5110.6,32.9,34.1
43,1977,28,523.2,2014.3,12.6,3.8,143.9,37.4,179.4,2271.2,12.7,13.9,12.8,141.9,,702.6,6.1,4285.5,26.4,29.1
44,1976,28,516.5,2109.4,14.8,4.1,150.7,36.9,191.1,2428.2,12.7,15.4,13.7,152.0,,707.6,6.4,4537.6,30.2,31.7
45,1975,26,507.7,2036.9,15.9,4.0,145.5,36.3,201.2,2561.3,12.7,16.7,14.4,162.8,,708.8,6.5,4598.3,32.5,31.3
46,1974,26,481.0,1866.2,14.0,3.9,133.3,34.4,193.9,2399.7,12.4,14.5,13.8,153.2,,674.9,6.3,4265.8,28.5,27.5
47,1973,26,497.5,2021.3,12.7,4.1,144.4,35.5,177.0,2231.1,12.6,14.5,12.6,140.9,,674.6,6.3,4252.4,27.2,31.6
48,1972,26,471.4,1950.9,14.0,4.1,139.4,33.7,179.2,2362.5,13.2,15.5,12.8,152.1,,650.6,6.6,4313.4,29.5,29.6
49,1971,26,452.9,1821.8,12.8,4.0,130.1,32.4,184.2,2432.8,13.2,15.0,13.2,155.7,,637.1,6.7,4254.6,27.8,29.4
50,1970,26,439.7,1685.4,11.3,3.8,120.4,31.4,192.6,2534.8,13.2,16.4,13.8,161.4,,632.3,6.7,4220.2,27.7,25.6
51,1969,16,426.9,1707.3,12.3,4.0,122.0,30.5,208.8,2770.3,13.3,20.2,14.9,177.5,,635.7,7.0,4477.6,32.5,24.9
52,1968,16,441.2,1775.1,12.6,4.0,126.8,31.5,193.3,2630.9,13.6,19.2,13.8,168.5,,634.5,6.9,4406.1,31.8,23.8
53,1967,16,429.3,1683.2,13.7,3.9,120.2,30.7,205.8,2800.1,13.6,20.3,14.7,179.5,,635.0,7.1,4483.3,33.9,23.8
54,1966,15,433.9,1693.4,13.3,3.9,121.0,31.0,209.9,2815.0,13.4,18.7,15.0,178.3,,643.9,7.0,4508.4,32.0,26.9
55,1965,14,430.8,1689.6,14.1,3.9,120.7,30.8,198.1,2882.1,14.5,21.9,14.2,183.8,,628.9,7.3,4571.6,36.0,30.3
56,1964,14,434.3,1735.4,13.9,4.0,124.0,31.0,199.6,2779.6,13.9,19.9,14.3,173.6,,633.9,7.1,4515.0,33.7,30.8
57,1963,14,436.6,1769.4,13.6,4.1,126.4,31.2,199.4,2910.4,14.6,21.6,14.2,185.7,,635.9,7.4,4679.9,35.1,28.9
58,1962,14,433.1,1763.0,15.2,4.1,125.9,30.9,203.9,3004.1,14.7,21.4,14.6,193.8,,637.0,7.5,4767.1,36.6,28.1
59,1961,14,436.1,1840.4,14.6,4.2,131.5,31.2,197.1,2827.9,14.3,20.4,14.1,180.5,,633.2,7.4,4668.4,35.0,28.5
60,1960,13,391.6,1597.5,12.4,4.1,133.1,32.6,158.8,2288.7,14.4,17.0,13.2,170.6,,550.4,7.1,3886.2,29.4,24.4
61,1959,12,408.4,1724.1,13.3,4.2,143.7,34.0,154.8,2243.5,14.5,16.4,12.9,169.8,,563.3,7.0,3967.6,29.7,27.1
62,1958,12,400.4,1694.8,14.7,4.2,141.2,33.4,162.8,2357.6,14.5,17.6,13.6,180.4,,563.2,7.2,4052.4,32.3,29.4
63,1957,12,429.3,1676.3,13.3,3.9,139.7,35.8,140.4,2062.1,14.7,14.2,11.7,153.4,,569.8,6.6,3738.3,27.4,26.8
64,1956,12,454.4,1867.8,14.9,4.1,155.6,37.9,138.0,1936.8,14.0,13.5,11.5,147.6,,592.4,6.4,3804.6,28.4,22.3
65,1955,12,442.1,1764.8,13.8,4.0,147.1,36.8,152.4,2107.1,13.8,15.0,12.7,159.8,,594.5,6.5,3871.8,28.8,27.3
66,1954,12,397.9,1581.8,12.7,4.0,131.8,33.2,177.9,2532.3,14.2,17.6,14.8,191.6,,575.8,7.1,4114.1,30.3,28.3
67,1953,12,401.4,1603.8,14.1,4.0,133.6,33.5,168.3,2318.7,13.8,15.8,14.0,173.8,,569.8,6.9,3922.4,29.8,30.0
68,1952,12,422.4,1610.0,12.3,3.8,134.2,35.2,155.3,2231.8,14.4,18.2,12.9,160.0,,577.7,6.7,3841.8,30.4,31.0
69,1951,12,450.2,1823.6,14.6,4.1,152.0,37.5,150.8,2206.8,14.6,16.7,12.6,162.7,,600.9,6.7,4030.4,31.3,26.3
70,1950,13,445.6,1851.9,16.0,4.2,154.3,37.1,154.5,2234.6,14.5,16.9,12.9,165.7,,600.1,6.8,4086.5,32.9,32.6
71,1949,10,464.1,1807.2,15.9,3.9,150.6,38.7,152.7,2143.6,14.0,16.8,12.7,161.0,,616.8,6.4,3950.8,32.7,28.8
72,1948,10,454.9,1817.8,15.1,4.0,151.5,37.9,149.8,2087.1,13.9,19.6,12.5,173.9,,604.7,6.5,3904.9,34.7,33.5
73,1947,10,428.1,1667.8,13.5,3.9,139.0,35.7,140.6,2167.0,15.4,18.8,11.7,180.6,,568.7,6.7,3834.8,32.3,30.3
74,1946,10,415.9,1380.9,14.1,3.3,125.5,37.8,104.9,1573.6,15.0,12.6,9.5,143.1,,520.8,5.7,2954.5,26.7,35.7
75,1945,10,361.8,1227.2,13.4,3.4,122.7,36.2,96.1,1437.7,15.0,10.9,9.6,143.8,,457.9,5.8,2664.9,24.3,27.7
76,1944,11,338.5,1081.7,10.7,3.2,119.0,37.2,82.4,1175.0,14.3,10.6,9.1,129.3,,420.9,5.4,2256.7,21.4,22.6
77,1943,10,294.5,946.4,8.5,3.2,118.3,36.8,76.9,1130.8,14.7,11.4,9.6,141.4,,371.4,5.6,2077.2,19.9,18.1
78,1942,10,405.2,1354.1,9.7,3.3,123.1,36.8,98.6,1361.9,13.8,10.8,9.0,123.7,,503.8,5.4,2716.0,20.5,23.2
