,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
Rk,Year,Tms,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,R/G,Y/G,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
49,1971,26,11776,47367,333,4.0,130.1,32.4,4788,63253,13.2,389,13.2,155.7,,16564,6.7,110620,722,765
50,1970,26,11432,43820,293,3.8,120.4,31.4,5008,65904,13.2,427,13.8,161.4,,16440,6.7,109724,720,665
51,1969,16,6831,27317,197,4.0,122.0,30.5,3340,44324,13.3,323,14.9,177.5,,10171,7.0,71641,520,398
52,1968,16,7059,28402,201,4.0,126.8,31.5,3093,42095,13.6,307,13.8,168.5,,10152,6.9,70497,508,381
53,1967,16,6868,26931,219,3.9,120.2,30.7,3292,44801,13.6,324,14.7,179.5,,10160,7.1,71732,543,380
54,1966,15,6509,25401,200,3.9,121.0,31.0,3149,42225,13.4,280,15.0,178.3,,9658,7.0,67626,480,403
55,1965,14,6031,23654,197,3.9,120.7,30.8,2774,40349,14.5,307,14.2,183.8,,8805,7.3,64003,504,424
56,1964,14,6080,24296,194,4.0,124.0,31.0,2794,38914,13.9,278,14.3,173.6,,8874,7.1,63210,472,431
57,1963,14,6112,24772,190,4.1,126.4,31.2,2791,40746,14.6,302,14.2,185.7,,8903,7.4,65518,492,405
58,1962,14,6064,24682,213,4.1,125.9,30.9,2854,42057,14.7,300,14.6,193.8,,8918,7.5,66739,513,393
59,1961,14,6106,25766,205,4.2,131.5,31.2,2759,39591,14.3,285,14.1,180.5,,8865,7.4,65357,490,399
60,1960,13,5091,20767,161,4.1,133.1,32.6,2064,29753,14.4,221,13.2,170.6,,7155,7.1,50520,382,317
61,1959,12,4901,20689,159,4.2,143.7,34.0,1858,26922,14.5,197,12.9,169.8,,6759,7.0,47611,356,325
62,1958,12,4805,20338,176,4.2,141.2,33.4,1953,28291,14.5,211,13.6,180.4,,6758,7.2,48629,387,353
63,1957,12,5152,20115,159,3.9,139.7,35.8,1685,24745,14.7,170,11.7,153.4,,6837,6.6,44860,329,321
64,1956,12,5453,22413,179,4.1,155.6,37.9,1656,23242,14.0,162,11.5,147.6,,7109,6.4,45655,341,267
65,1955,12,5305,21177,166,4.0,147.1,36.8,1829,25285,13.8,180,12.7,159.8,,7134,6.5,46462,346,327
