,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Total Yds,Total Yds,Total Yds,,
Rk,Year,Tms,Att,Yds,TD,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,R/G,Y/G,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb
54,1966,15,31.0,121.0,1.0,3.9,121.0,31.0,15.0,201.1,13.4,1.3,15.0,178.3,,46.0,7.0,322.0,2.3,1.9
55,1965,14,30.8,120.7,1.0,3.9,120.7,30.8,14.2,205.9,14.5,1.6,14.2,183.8,,44.9,7.3,326.5,2.6,2.2
56,1964,14,31.0,124.0,1.0,4.0,124.0,31.0,14.3,198.5,13.9,1.4,14.3,173.6,,45.3,7.1,322.5,2.4,2.2
57,1963,14,31.2,126.4,1.0,4.1,126.4,31.2,14.2,207.9,14.6,1.5,14.2,185.7,,45.4,7.4,334.3,2.5,2.1
58,1962,14,30.9,125.9,1.1,4.1,125.9,30.9,14.6,214.6,14.7,1.5,14.6,193.8,,45.5,7.5,340.5,2.6,2.0
59,1961,14,31.2,131.5,1.0,4.2,131.5,31.2,14.1,202.0,14.3,1.5,14.1,180.5,,45.2,7.4,333.5,2.5,2.0
60,1960,13,32.6,133.1,1.0,4.1,133.1,32.6,13.2,190.7,14.4,1.4,13.2,170.6,,45.9,7.1,323.8,2.4,2.0
61,1959,12,34.0,143.7,1.1,4.2,143.7,34.0,12.9,187.0,14.5,1.4,12.9,169.8,,46.9,7.0,330.6,2.5,2.3
62,1958,12,33.4,141.2,1.2,4.2,141.2,33.4,13.6,196.5,14.5,1.5,13.6,180.4,,46.9,7.2,337.7,2.7,2.5
63,1957,12,35.8,139.7,1.1,3.9,139.7,35.8,11.7,171.8,14.7,1.2,11.7,153.4,,47.5,6.6,311.5,2.3,2.2
64,1956,12,37.9,155.6,1.2,4.1,155.6,37.9,11.5,161.4,14.0,1.1,11.5,147.6,,49.4,6.4,317.0,2.4,1.9
65,1955,12,36.8,147.1,1.2,4.0,147.1,36.8,12.7,175.6,13.8,1.3,12.7,159.8,,49.5,6.5,322.7,2.4,2.3
