,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Plays,Yds,Pts
38,1982,28,20.2,317.2,65.0,4.9,2.4,1.0,18.9,17.8,31.5,199.4,1.3,1.4,5.8,10.3,30.8,117.8,0.9,3.8,7.1,6.1,51.3,1.5,,,,,,
39,1981,28,20.7,334.5,66.3,5.0,2.5,1.1,19.4,17.3,31.7,204.4,1.3,1.4,6.0,10.2,32.4,130.1,1.0,4.0,7.6,6.4,54.2,1.6,,,,,,
40,1980,28,20.5,323.5,65.0,5.0,2.3,0.9,19.0,17.2,30.6,196.0,1.4,1.4,6.0,10.1,32.1,127.5,1.0,4.0,7.5,6.2,53.2,1.5,,,,,,
41,1979,28,20.1,315.9,65.2,4.8,2.4,1.1,18.5,15.7,29.0,180.4,1.2,1.3,5.8,9.3,33.9,135.6,1.1,4.0,7.7,6.4,54.4,1.5,,,,,,
42,1978,28,18.3,300.7,64.6,4.7,2.5,1.1,17.7,14.0,26.4,158.8,1.0,1.4,5.5,8.3,35.9,141.8,1.0,4.0,7.7,6.7,57.7,1.6,,,,,,
43,1977,28,17.2,285.8,64.8,4.4,2.5,1.1,16.9,12.8,25.0,141.9,1.0,1.4,5.2,7.7,37.4,143.9,0.9,3.8,7.9,6.5,55.6,1.3,,,,,,
44,1976,28,19.2,302.7,65.7,4.6,2.5,1.2,17.7,13.7,26.2,152.0,1.1,1.3,5.3,8.1,36.9,150.7,1.1,4.1,8.1,6.6,56.5,1.4,,,,,,
45,1975,26,20.6,308.3,66.2,4.7,2.6,1.1,18.4,14.4,27.4,162.8,1.2,1.5,5.4,8.7,36.3,145.5,1.1,4.0,8.2,6.1,52.0,1.5,,,,,,
46,1974,26,18.2,286.5,63.0,4.5,2.3,1.0,17.1,13.8,26.4,153.2,1.0,1.4,5.3,8.1,34.4,133.3,1.0,3.9,7.7,5.5,47.0,1.3,,,,,,
47,1973,26,19.5,285.3,62.2,4.6,2.4,1.1,16.6,12.6,24.3,140.9,1.0,1.3,5.3,7.4,35.5,144.4,0.9,4.1,7.9,5.1,47.4,1.2,,,,,,
48,1972,26,20.3,291.4,60.5,4.8,2.3,1.0,16.8,12.8,24.8,152.1,1.1,1.3,5.7,7.8,33.7,139.4,1.0,4.1,7.7,5.1,47.4,1.3,,,,,,
49,1971,26,19.4,285.8,60.3,4.7,2.6,1.1,16.2,13.2,25.9,155.7,1.1,1.5,5.6,7.9,32.4,130.1,0.9,4.0,7.1,5.4,53.7,1.2,,,,,,
50,1970,26,19.3,281.8,60.7,4.6,2.4,1.0,15.8,13.8,26.9,161.4,1.2,1.4,5.5,8.2,31.4,120.4,0.8,3.8,6.3,5.7,59.9,1.3,,,,,,
51,1969,16,20.9,299.4,61.3,4.9,2.4,1.0,17.0,14.9,28.3,177.5,1.4,1.4,5.8,8.9,30.5,122.0,0.9,4.0,6.7,5.3,54.5,1.4,,,,,,
52,1968,16,20.5,295.3,60.7,4.9,2.5,1.0,16.9,13.8,26.8,168.5,1.4,1.5,5.8,8.4,31.5,126.8,0.9,4.0,7.1,5.2,52.5,1.3,,,,,,
53,1967,16,21.8,299.8,61.9,4.8,2.6,1.0,17.0,14.7,28.8,179.5,1.4,1.6,5.7,8.8,30.7,120.2,1.0,3.9,6.8,5.4,55.6,1.4,,,,,,
54,1966,15,21.7,299.2,62.9,4.8,2.6,1.0,17.1,15.0,29.1,178.3,1.3,1.5,5.6,8.9,31.0,121.0,1.0,3.9,6.8,5.1,50.5,1.4,,,,,,
55,1965,14,23.1,304.5,61.0,5.0,2.6,1.2,17.2,14.2,27.6,183.8,1.6,1.4,6.1,8.9,30.8,120.7,1.0,3.9,6.8,4.8,47.6,1.5,,,,,,
56,1964,14,22.0,297.6,61.8,4.8,2.5,1.2,17.0,14.3,27.7,173.6,1.4,1.3,5.6,8.8,31.0,124.0,1.0,4.0,6.9,5.1,49.7,1.4,,,,,,
57,1963,14,22.0,312.1,61.4,5.1,2.7,1.1,17.2,14.2,27.6,185.7,1.5,1.5,6.1,8.9,31.2,126.4,1.0,4.1,7.1,4.6,45.9,1.2,,,,,,
58,1962,14,22.3,319.7,60.9,5.3,2.9,1.2,17.5,14.6,27.3,193.8,1.5,1.7,6.5,9.3,30.9,125.9,1.1,4.1,7.2,4.2,44.3,1.1,,,,,,
59,1961,14,21.5,311.9,60.8,5.1,2.9,1.2,17.3,14.1,27.0,180.5,1.5,1.7,6.1,9.1,31.2,131.5,1.0,4.2,7.3,4.2,40.4,1.0,,,,,,
60,1960,13,21.6,303.8,61.5,4.9,2.9,1.1,16.8,13.2,26.4,170.6,1.4,1.8,5.9,8.3,32.6,133.1,1.0,4.1,7.2,5.0,49.1,1.2,,,,,,
61,1959,12,21.3,313.5,62.0,5.1,2.8,1.3,17.4,12.9,25.8,169.8,1.4,1.5,6.1,8.5,34.0,143.7,1.1,4.2,7.6,4.5,40.6,1.3,,,,,,
62,1958,12,22.6,321.6,62.8,5.1,3.1,1.4,17.5,13.6,27.4,180.4,1.5,1.7,6.1,8.5,33.4,141.2,1.2,4.2,7.8,4.9,48.1,1.2,,,,,,
63,1957,12,19.8,293.1,61.3,4.8,2.9,1.3,16.3,11.7,23.2,153.4,1.2,1.6,6.0,7.6,35.8,139.7,1.1,3.9,7.4,4.9,47.0,1.3,,,,,,
64,1956,12,20.4,303.2,62.4,4.9,2.8,1.1,17.2,11.5,22.8,147.6,1.1,1.7,6.0,7.4,37.9,155.6,1.2,4.1,8.6,4.9,44.2,1.2,,,,,,
65,1955,12,20.8,306.8,65.3,4.7,3.3,1.5,17.4,12.7,26.5,159.8,1.3,1.8,5.6,8.0,36.8,147.1,1.2,4.0,8.0,5.0,46.5,1.3,,,,,,
66,1954,12,21.9,323.4,65.0,5.0,3.4,1.4,17.9,14.8,29.4,191.6,1.5,2.0,6.0,9.3,33.2,131.8,1.1,4.0,7.3,5.9,53.8,1.2,,,,,,
67,1953,12,21.5,307.4,65.5,4.7,3.5,1.4,16.9,14.0,29.6,173.8,1.3,2.1,5.4,8.3,33.5,133.6,1.2,4.0,7.6,5.6,48.7,1.0,,,,,,
68,1952,12,22.3,294.1,66.4,4.4,3.6,1.5,16.2,12.9,27.9,160.0,1.5,2.1,5.1,7.9,35.2,134.2,1.0,3.8,7.2,6.4,57.7,1.1,,,,,,
69,1951,12,21.9,314.7,67.1,4.7,3.3,1.3,17.9,12.6,27.0,162.7,1.4,2.0,5.5,7.6,37.5,152.0,1.2,4.1,8.7,6.6,58.9,1.5,,,,,,
70,1950,13,22.9,320.1,67.3,4.8,3.7,1.5,17.0,12.9,27.6,165.7,1.4,2.2,5.5,7.3,37.1,154.3,1.3,4.2,8.4,6.8,61.4,1.2,,,,,,
71,1949,10,22.5,311.6,68.2,4.6,3.4,1.3,17.5,12.7,27.3,161.0,1.4,2.1,5.5,7.8,38.7,150.6,1.3,3.9,8.3,6.2,56.3,1.4,,,,,,
72,1948,10,23.2,325.4,63.9,5.1,3.5,1.5,17.4,12.5,26.0,173.9,1.6,1.9,6.7,7.5,37.9,151.5,1.3,4.0,8.4,7.5,67.7,1.5,,,,,,
73,1947,10,22.0,319.6,60.6,5.3,3.5,1.4,16.6,11.7,24.9,180.6,1.6,2.1,7.2,7.3,35.7,139.0,1.1,3.9,7.6,7.6,68.9,1.7,,,,,,
74,1946,10,18.9,268.6,59.1,4.5,3.6,1.7,14.8,9.5,21.3,143.1,1.1,1.9,6.7,5.8,37.8,125.5,1.3,3.3,7.6,7.6,67.4,1.4,,,,,,
75,1945,10,18.5,266.5,57.3,4.7,3.0,1.1,12.1,9.6,21.1,143.8,1.1,1.9,6.8,4.8,36.2,122.7,1.3,3.4,6.2,6.3,57.1,1.2,,,,,,
76,1944,11,18.0,248.2,58.4,4.3,3.5,1.1,11.5,9.1,21.1,129.3,1.2,2.3,6.1,4.6,37.2,119.0,1.2,3.2,6.0,6.9,53.6,0.9,,,,,,
77,1943,10,19.5,259.7,58.5,4.4,3.2,0.9,11.7,9.6,21.7,141.4,1.4,2.3,6.5,4.5,36.8,118.3,1.1,3.2,6.3,5.5,44.8,0.9,,,,,,
78,1942,10,15.9,246.8,57.3,4.3,3.0,1.1,11.8,9.0,20.4,123.7,1.0,2.0,6.1,4.6,36.8,123.1,0.9,3.3,6.3,4.8,40.1,0.9,,,,,,
79,1941,10,16.5,238.5,57.1,4.2,3.1,1.1,11.6,8.9,20.1,121.8,0.9,2.0,6.1,4.4,37.1,116.7,1.0,3.2,6.4,4.3,38.3,0.8,,,,,,
80,1940,10,15.1,245.0,58.1,4.2,2.0,0.0,11.5,8.8,20.5,125.3,0.9,2.0,6.1,,37.6,119.6,0.9,3.2,11.5,0.0,30.6,,,,,,,
81,1939,10,15.4,249.4,57.4,4.3,1.9,0.0,11.1,8.7,20.3,128.8,0.9,1.9,6.3,,37.0,120.6,0.9,3.3,11.1,0.0,25.1,,,,,,,
82,1938,10,13.5,230.4,56.1,4.1,2.0,0.0,10.8,7.5,18.5,105.8,0.8,2.0,5.7,,37.7,124.6,0.8,3.3,10.8,0.0,25.9,,,,,,,
