,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Plays,Yds,Pts
34,1986,28,9193,145253,29176,5.0,1012,431,8492,8014,14469,92081,586,581,5.9,4749,13509,53172,401,3.9,3039,2875,23227,704,,,,,,
35,1985,28,9645,147591,29365,5.0,1069,467,8593,7911,14423,91622,598,602,5.8,4765,13636,55969,443,4.1,3159,2817,22593,669,,,,,,
36,1984,28,9502,147741,29449,5.0,1012,428,8657,8076,14325,92238,615,584,5.9,4808,13811,55503,410,4.0,3223,2865,24056,626,,,,,,
37,1983,28,9779,149795,29473,5.1,1114,494,8702,7993,14047,91673,625,620,6.0,4675,14211,58122,437,4.1,3407,2801,23713,620,,,,,,
38,1982,28,5080,79935,16369,4.9,613,264,4772,4474,7933,50256,320,349,5.8,2607,7763,29679,231,3.8,1798,1537,12934,367,,,,,,
39,1981,28,9262,149857,29709,5.0,1117,508,8692,7745,14180,91553,591,609,6.0,4574,14508,58304,441,4.0,3409,2881,24291,709,,,,,,
40,1980,28,9178,144923,29120,5.0,1039,412,8528,7699,13705,87788,606,627,6.0,4530,14384,57135,431,4.0,3346,2784,23822,652,,,,,,
41,1979,28,8989,141542,29219,4.8,1071,474,8270,7022,12979,80809,538,597,5.8,4149,15183,60733,487,4.0,3435,2870,24380,686,,,,,,
42,1978,28,8213,134698,28925,4.7,1136,497,7908,6278,11829,71158,468,639,5.5,3721,16075,63540,454,4.0,3464,3010,25860,723,,,,,,
43,1977,28,6733,112020,25391,4.4,996,434,6620,5022,9786,55620,388,562,5.2,3008,14650,56400,352,3.8,3092,2541,21797,520,,,,,,
44,1976,28,7508,118660,25745,4.6,985,488,6924,5351,10260,59596,432,497,5.3,3187,14461,59064,414,4.1,3192,2590,22129,545,,,,,,
45,1975,26,7495,112216,24079,4.7,948,415,6686,5231,9973,59256,433,533,5.4,3176,13199,52960,413,4.0,2977,2209,18930,533,,,,,,
46,1974,26,6618,104301,22935,4.5,850,350,6211,5041,9609,55781,376,500,5.3,2950,12507,48520,365,3.9,2785,1984,17123,476,,,,,,
47,1973,26,7081,103852,22641,4.6,886,416,6032,4603,8845,51298,378,470,5.3,2706,12936,52554,330,4.1,2890,1847,17271,436,,,,,,
48,1972,26,7372,106079,22028,4.8,852,372,6100,4659,9011,55355,404,480,5.7,2822,12256,50724,364,4.1,2799,1856,17242,479,,,,,,
49,1971,26,7048,104049,21956,4.7,950,406,5891,4788,9412,56682,389,544,5.6,2862,11776,47367,333,4.0,2575,1970,19529,454,,,,,,
50,1970,26,7010,102565,22100,4.6,883,373,5749,5008,9796,58745,427,510,5.5,2972,11432,43820,293,3.8,2287,2078,21811,490,,,,,,
51,1969,16,4682,67072,13737,4.9,531,220,3805,3340,6345,39755,323,311,5.8,2000,6831,27317,197,4.0,1500,1180,12207,305,,,,,,
52,1968,16,4592,66153,13600,4.9,555,228,3775,3093,5997,37751,307,327,5.8,1875,7059,28402,201,4.0,1599,1154,11756,301,,,,,,
53,1967,16,4894,67150,13868,4.8,581,215,3817,3292,6451,40219,324,366,5.7,1971,6868,26931,219,3.9,1529,1211,12462,317,,,,,,
54,1966,15,4562,62837,13208,4.8,537,219,3583,3149,6108,37436,280,318,5.6,1859,6509,25401,200,3.9,1428,1065,10600,296,,,,,,
55,1965,14,4520,59682,11960,5.0,505,228,3368,2774,5407,36028,307,277,6.1,1739,6031,23654,197,3.9,1342,946,9320,287,,,,,,
56,1964,14,4319,58330,12118,4.8,496,234,3332,2794,5437,34034,278,262,5.6,1722,6080,24296,194,4.0,1345,995,9747,265,,,,,,
57,1963,14,4308,61178,12032,5.1,526,224,3368,2791,5415,36406,302,302,6.1,1745,6112,24772,190,4.1,1393,894,9001,230,,,,,,
58,1962,14,4373,62669,11929,5.3,560,235,3436,2854,5356,37987,300,325,6.5,1814,6064,24682,213,4.1,1403,832,8683,219,,,,,,
59,1961,14,4215,61139,11926,5.1,561,229,3396,2759,5292,35373,285,332,6.1,1776,6106,25766,205,4.2,1427,823,7926,193,,,,,,
60,1960,13,3363,47385,9597,4.9,446,172,2618,2064,4114,26618,221,274,5.9,1297,5091,20767,161,4.1,1127,785,7657,194,,,,,,
61,1959,12,3072,45141,8923,5.1,406,185,2503,1858,3714,24452,197,221,6.1,1222,4901,20689,159,4.2,1096,641,5842,185,,,,,,
62,1958,12,3253,46310,9046,5.1,446,203,2526,1953,3951,25972,211,243,6.1,1226,4805,20338,176,4.2,1123,707,6931,177,,,,,,
63,1957,12,2850,42207,8822,4.8,413,182,2343,1685,3339,22092,170,231,6.0,1098,5152,20115,159,3.9,1063,701,6766,182,,,,,,
64,1956,12,2935,43664,8985,4.9,400,160,2474,1656,3282,21251,162,240,6.0,1068,5453,22413,179,4.1,1239,701,6362,167,,,,,,
65,1955,12,3001,44186,9410,4.7,469,211,2501,1829,3820,23009,180,258,5.6,1154,5305,21177,166,4.0,1158,720,6693,189,,,,,,
66,1954,12,3152,46575,9357,5.0,492,198,2571,2135,4232,27593,211,294,6.0,1341,4775,18982,152,4.0,1051,852,7753,179,,,,,,
67,1953,12,3097,44270,9435,4.7,510,204,2429,2020,4267,25025,189,306,5.4,1190,4817,19245,169,4.0,1090,802,7008,149,,,,,,
68,1952,12,3208,42353,9561,4.4,518,221,2333,1863,4024,23033,218,297,5.1,1138,5069,19320,147,3.8,1042,921,8310,153,,,,,,
69,1951,12,3159,45318,9664,4.7,476,188,2574,1809,3881,23435,200,288,5.5,1099,5402,21883,175,4.1,1258,951,8488,217,,,,,,
70,1950,13,3579,49931,10501,4.8,582,239,2657,2008,4307,25856,220,343,5.5,1146,5793,24075,208,4.2,1317,1055,9586,194,,,,,,
71,1949,10,2699,37396,8180,4.6,402,155,2097,1527,3275,19324,168,247,5.5,931,4641,18072,159,3.9,998,746,6754,168,,,,,,
72,1948,10,2789,39049,7665,5.1,417,185,2093,1498,3116,20871,196,232,6.7,903,4549,18178,151,4.0,1012,903,8127,178,,,,,,
73,1947,10,2634,38348,7272,5.3,415,165,1992,1406,2991,21670,188,250,7.2,878,4281,16678,135,3.9,915,910,8266,199,,,,,,
74,1946,10,2079,29545,6500,4.5,398,186,1627,1049,2341,15736,126,212,6.7,643,4159,13809,141,3.3,834,831,7414,150,,,,,,
75,1945,10,1849,26649,5725,4.7,302,109,1211,961,2107,14377,109,193,6.8,478,3618,12272,134,3.4,615,630,5706,118,,,,,,
76,1944,11,1801,24824,5838,4.3,345,111,1145,906,2114,12925,117,234,6.1,462,3724,11899,118,3.2,595,685,5357,88,,,,,,
77,1943,10,1556,20772,4677,4.4,256,74,935,769,1732,11308,114,182,6.5,361,2945,9464,85,3.2,503,439,3580,71,,,,,,
78,1942,10,1745,27149,6301,4.3,335,116,1298,986,2249,13608,108,219,6.1,508,4052,13541,97,3.3,688,523,4406,102,,,,,,
